,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
310,Dairy products,No cambió,No cambió,No lo hago,Contadora,Llamada a Teléfono fijo,Ninguna,5%,Cuaderno,yes,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,En desacuerdo
311,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,5%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,De acuerdo
312,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,5%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,De acuerdo
313,Butcher shop,No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,5%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,De acuerdo
314,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,5%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,De acuerdo
315,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,5%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,De acuerdo
316,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
317,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
318,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
319,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
320,Butcher shop,No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
321,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
322,Butcher shop,No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
323,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
324,Cafeteria,No cambió,Aumentó 50% o más,En papel,No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,yes,Ninguna de las anteriores,0,De acuerdo,De acuerdo
325,Micro-restaurant (aka. fondita),Disminuyó 15%,Aumentó 15%,No lo hago,No lo hago,Llamada a Teléfono fijo,Ninguna,20%,Ninguna,no,Aumentar la variedad de productos.,0,Totalmente en desacuerdo,Totalmente en desacuerdo
326,Micro-restaurant (aka. fondita),No cambió,Disminuyó 15%,En papel,En papel,Llamada a Teléfono fijo,Ninguna,40%,Cuaderno,no,Aumentar la variedad de productos.,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
327,Planchaduria,Disminuyó 15%,No cambió,En Excel,Notas ,Volantes,Aplicación móvil,30%,Ninguna,yes,Aumentar la variedad de productos.,30%,Totalmente de acuerdo,De acuerdo
328,Ginecología,No cambió,No cambió,No lo hago,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Ninguna,15%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,Totalmente de acuerdo
329,Micro-restaurant (aka. fondita),No cambió,Disminuyó 25%,En papel,En papel,Ninguno,Aplicación móvil,35%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,Totalmente de acuerdo
330,Micro-restaurant (aka. fondita),Aumentó 15%,Disminuyó 50% o más,Mentalmente,En papel,Ninguno,Ninguna,20%,Mental,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,Totalmente de acuerdo,Totalmente de acuerdo
331,Panadería ,No cambió,Disminuyó 15%,No lo hago,En papel,Ninguno,Ninguna,20%,Por temporada de pan,no,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,De acuerdo,Totalmente en desacuerdo
332,Grocery store (aka. nanostore),No cambió,Disminuyó 25%,En papel,En papel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",20%,Ninguna,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,De acuerdo
333,Dairy products,No cambió,Disminuyó 25%,En papel,En papel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",20%,Ninguna,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,De acuerdo
334,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Cuaderno,no,Disminuir la frecuencia de pedidos,10%,Totalmente de acuerdo,Totalmente de acuerdo
335,hules,No cambió,Aumentó 15%,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",15%,Cuaderno,no,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,De acuerdo
336,cosmetiquera ,No cambió,Aumentó 15%,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",15%,Cuaderno,no,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,De acuerdo
337,Cafeteria,Aumentó 25%,Aumentó 15%,En papel,En papel,WhatsApp,Aplicación móvil,30%,Cuaderno,no,Disminuir la frecuencia de pedidos,50% +,Totalmente en desacuerdo,De acuerdo
338,Grocery store (aka. nanostore),No cambió,Aumentó 15%,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",50% +,Excel,no,Disminuir la frecuencia de pedidos,20%,De acuerdo,Ni de acuerdo ni en desacuerdo
339,objetos ,No cambió,Aumentó 15%,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",50% +,Excel,no,Disminuir la frecuencia de pedidos,20%,De acuerdo,Ni de acuerdo ni en desacuerdo
340,muebles,No cambió,No cambió,En Excel,Caja registradora (análoga),Llamada a Teléfono celular,Cuaderno,15%,Cuaderno,no,Disminuir la frecuencia de pedidos,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
341,Clothing,No cambió,No cambió,En Excel,Caja registradora (análoga),Llamada a Teléfono celular,Cuaderno,15%,Cuaderno,no,Disminuir la frecuencia de pedidos,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
342,Handmade products ,No cambió,No cambió,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel","Redes sociales (e.g. Facebook, Instagram)",Cuaderno,5%,"Cuaderno,Excel",yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,De acuerdo
343,Rock store,No cambió,No cambió,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel","Redes sociales (e.g. Facebook, Instagram)",Cuaderno,5%,"Cuaderno,Excel",yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,De acuerdo
344,ropa,Disminuyó 15%,No cambió,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel",Página web propia,Redes sociales,5%,Cuaderno,yes,Disminuir la frecuencia de pedidos,10%,Totalmente de acuerdo,De acuerdo
345,objetos ,Disminuyó 15%,No cambió,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram)",Redes sociales,5%,Cuaderno,yes,Disminuir la frecuencia de pedidos,50% +,Totalmente de acuerdo,De acuerdo
346,Handmade & typical candy store ,Disminuyó 15%,No cambió,En Excel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora","Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,30%,"Excel,Software especializado",yes,Disminuir la frecuencia de pedidos,30%,Totalmente de acuerdo,De acuerdo
347,Handmade products ,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Aplicación móvil,40%,Excel,yes,Disminuir la frecuencia de pedidos,30%,Totalmente de acuerdo,De acuerdo
348,Sports,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Aplicación móvil,40%,Excel,yes,Disminuir la frecuencia de pedidos,30%,Totalmente de acuerdo,De acuerdo
349,Copias y servicio computadoras  ,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Aplicación móvil,40%,Excel,yes,Disminuir la frecuencia de pedidos,30%,Totalmente de acuerdo,De acuerdo
350,Objetos tradicionales,Disminuyó 15%,Aumentó 25%,En papel,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats)","Aplicación móvil,Redes sociales",30%,Ninguna,no,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
351,Micro-restaurant (aka. fondita),Disminuyó 15%,Aumentó 25%,En papel,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats)","Aplicación móvil,Redes sociales",30%,Ninguna,no,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
352,Cafeteria,Aumentó 50% o más,Aumentó 25%,En Excel,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats)",Aplicación móvil,45%,Software especializado,no,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
353,Grocery store (aka. nanostore),Disminuyó 15%,Aumentó 15%,No lo hago,No lo hago,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Ninguna",25%,"Cuaderno,Ninguna",yes,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,De acuerdo
354,Papelería ,Disminuyó 15%,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",15%,Ninguna,yes,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
355,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",publicidades ,30%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
356,floristería ,No cambió,No cambió,No lo hago,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,Totalmente en desacuerdo
357,Papelería ,No cambió,No cambió,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,20%,Catálogo ,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,En desacuerdo,Totalmente de acuerdo
358,Grocery store (aka. nanostore),No cambió,Aumentó 15%,"En Excel,En papel",En papel,Llamada a Teléfono celular,"Aplicación móvil,Redes sociales",50% +,"Cuaderno,Excel",yes,Ninguna de las anteriores,30%,Totalmente de acuerdo,De acuerdo
359,Grocery store (aka. nanostore),Disminuyó 15%,No cambió,No lo hago,En papel,Página web propia,Ninguna,10%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,De acuerdo
360,Venta de productos de limpieza,No cambió,Aumentó 50% o más,"En Excel,En papel","En Excel,En papel",Página web propia,"Aplicación móvil,Redes sociales",25%,Redes sociales,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
361,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,"En papel,Mental",En papel,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Publicidad,30%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente de acuerdo,Totalmente en desacuerdo
362,Grocery store (aka. nanostore),Disminuyó 50% o más,No cambió,En papel,En papel,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Cuaderno,50% +,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
363,Dairy products,Disminuyó 50% o más,No cambió,En papel,En papel,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Cuaderno,50% +,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
364,Micro-restaurant (aka. fondita),Disminuyó 50% o más,No cambió,En papel,En papel,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Cuaderno,50% +,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
365,Dairy products,No cambió,No cambió,En Excel,En Excel,WhatsApp,Cuaderno,10%,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
366,Ferretería ,No cambió,No cambió,En Excel,En Excel,WhatsApp,Cuaderno,10%,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
367,papeleria,No cambió,No cambió,En Excel,En Excel,WhatsApp,Cuaderno,10%,Excel,no,Disminuir la cantidad del pedido,2%,Totalmente de acuerdo,Totalmente de acuerdo
368,compostura de ropa,No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
369,Micro-restaurant (aka. fondita),No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
370,Tortillería ,No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
371,Micro-restaurant (aka. fondita),No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
372,Produce (fruits & vegetables),No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
373,Butcher shop,No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
374,Micro-restaurant (aka. fondita),No cambió,No cambió,"En Excel,En papel","En Excel,En papel",conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,De acuerdo,De acuerdo
375,Panaderia,No cambió,No cambió,En papel,En papel,conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,Totalmente en desacuerdo,En desacuerdo
376,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,conocidos paquetes cerrados,Cuaderno,10%,Software especializado,no,Disminuir la cantidad del pedido,10%,Totalmente en desacuerdo,En desacuerdo
377,Micro-restaurant (aka. fondita),No cambió,No hay empleándosela ,No lo hago,No lo hago,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
378,Lavandería ,No cambió,No hay empleándosela ,No lo hago,No lo hago,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
379,Grocery store (aka. nanostore),No cambió,No hay empleándosela ,No lo hago,No lo hago,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
380,Tlapalería ,Aumentó 50% o más,No hay empleándosela ,En Excel,En Excel,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
381,Dairy products,Aumentó 50% o más,No hay empleándosela ,En Excel,En Excel,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
382,Tienda de Ropa,Aumentó 50% o más,No hay empleándosela ,En Excel,En Excel,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
383,Grocery store (aka. nanostore),Aumentó 50% o más,No hay empleándosela ,Software especializado + computadora,Software especializado + computadora,Solo físico ,Ninguna,10%,Software especializado,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
384,Grocery store (aka. nanostore),Disminuyó 15%,No hay empleándosela ,En papel,En papel,Solo físico ,Ninguna,10%,Cuaderno,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
385,Tienda de ropa,No cambió,No cambió,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
386,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Cuaderno,20%,Cuaderno,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,Totalmente en desacuerdo
387,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
388,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
389,Dairy products,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
390,Bread ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
391,Cafeteria,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,De acuerdo
392,Estética ,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
393,Butcher shop,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
394,Produce (fruits & vegetables),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
395,limpieza,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
396,Dairy products,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Totalmente de acuerdo
397,Dairy products,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",Redes sociales,20%,Ninguna,no,Disminuir la cantidad del pedido,40%,Totalmente de acuerdo,Totalmente de acuerdo
398,Micro-restaurant (aka. fondita),Aumentó 25%,Aumentó 15%,"En Excel,En papel","En Excel,En papel","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,50% +,Ninguna,yes,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
399,Micro-restaurant (aka. fondita),Aumentó 25%,Aumentó 15%,"En Excel,En papel","En Excel,En papel","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,50% +,Ninguna,yes,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
400,Papelería,Aumentó 25%,Aumentó 15%,"En Excel,En papel","En Excel,En papel","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,50% +,Ninguna,yes,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
401,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,30%,Cuaderno,no,"Aumentar la cantidad del pedido,Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,De acuerdo
402,Produce (fruits & vegetables),Disminuyó 15%,Disminuyó 15%,En papel,En papel,Llamada a Teléfono celular,Ninguna,5%,Ninguna,yes,"Aumentar la cantidad del pedido,Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Ni de acuerdo ni en desacuerdo,De acuerdo
403,Peluqueria,No cambió,Disminuyó 15%,No lo hago,No lo hago,Llamada a Teléfono celular,Aplicación móvil,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
404,Micro-restaurant (aka. fondita),No cambió,Disminuyó 15%,En papel,En papel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
405,Cafeteria,No cambió,Disminuyó 15%,En papel,En papel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
406,Micro-restaurant (aka. fondita),Disminuyó 25%,Disminuyó 15%,No lo hago,No lo hago,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
407,Dairy products,No cambió,Disminuyó 15%,En papel,En Excel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
408,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En Excel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
409,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En Excel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
410,Micro-restaurant (aka. fondita),No cambió,Disminuyó 15%,En papel,En Excel,Llamada a Teléfono celular,Ninguna,10%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,De acuerdo
411,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En papel,"Página web propia,WhatsApp",Ninguna,10%,Software especializado,yes,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
412,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En papel,"Página web propia,WhatsApp",Ninguna,10%,Software especializado,yes,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
413,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora","Página web propia,WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
414,Micro-restaurant (aka. fondita),No cambió,No cambió,Software especializado + computadora,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora","Página web propia,WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
415,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora","Página web propia,WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
